,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,all_star
8599,Marreese Speights,GSW,28,208.28,115.66596,Florida,USA,2008,1,16,72,7.1,3.3,0.8,1.7,0.101,0.205,0.302,0.506,0.126,2015-16,
8600,Marvin Williams,CHA,30,205.74,107.501304,North Carolina,USA,2005,1,2,81,11.7,6.4,1.4,5.2,0.059,0.187,0.169,0.585,0.074,2015-16,
8601,Mason Plumlee,POR,26,210.82,106.59412,Duke,USA,2013,1,22,82,9.1,7.7,2.8,1.1,0.106,0.223,0.173,0.564,0.161,2015-16,
8602,Matt Barnes,MEM,36,200.66,102.511792,UCLA,USA,2002,2,45,76,10,5.5,2.1,-5.5,0.041,0.179,0.177,0.503,0.117,2015-16,
8603,Michael Carter-Williams,MIL,24,198.12,86.18248,Syracuse,USA,2013,1,11,54,11.5,5.1,5.2,-3.3,0.033,0.154,0.21,0.498,0.264,2015-16,
8604,Meyers Leonard,POR,24,215.9,111.13004,Illinois,USA,2012,1,11,61,8.4,5.1,1.5,1,0.042,0.213,0.176,0.561,0.103,2015-16,
8605,Matthew Dellavedova,CLE,25,193.04,89.811216,Saint Mary's (CA),Australia,Undrafted,Undrafted,Undrafted,76,7.5,2.1,4.4,10,0.021,0.076,0.159,0.527,0.265,2015-16,
8606,Metta World Peace,LAL,36,200.66,117.93392,St. John's (NY),USA,1999,1,16,35,5,2.5,0.8,-6,0.033,0.125,0.165,0.435,0.078,2015-16,
8607,Markieff Morris,WAS,26,208.28,111.13004,Kansas,USA,2011,1,13,64,12,5.5,1.9,-4.3,0.049,0.195,0.243,0.489,0.125,2015-16,
8608,Michael Beasley,HOU,27,208.28,106.59412,Kansas State,USA,2008,1,2,20,12.8,4.9,0.8,-8.4,0.084,0.198,0.29,0.563,0.086,2015-16,
8609,Matt Bonner,SAS,36,208.28,106.59412,Florida,USA,2003,2,45,30,2.5,0.9,0.3,17.5,0.019,0.133,0.146,0.647,0.061,2015-16,
8610,Maurice Harkless,POR,23,205.74,97.52228,St. John's (NY),USA,2012,1,15,78,6.4,3.6,0.9,1.7,0.076,0.133,0.155,0.541,0.068,2015-16,
8611,Marcus Morris,DET,26,205.74,106.59412,Kansas,USA,2011,1,14,80,14.1,5.1,2.5,1.8,0.034,0.126,0.184,0.531,0.107,2015-16,
8612,Mario Hezonja,ORL,21,203.2,98.883056,None,Croatia,2015,1,5,79,6.1,2.2,1.4,-1.4,0.022,0.121,0.169,0.541,0.113,2015-16,
8613,Mario Chalmers,MIA,30,187.96,86.18248,Kansas,USA,2008,2,34,61,10.3,2.6,3.8,2.9,0.02,0.111,0.218,0.561,0.27,2015-16,
8614,Marcus Thornton,WAS,29,193.04,92.98636,Louisiana State,USA,2009,2,43,61,9.7,2.5,1.4,-0.4,0.037,0.112,0.24,0.511,0.125,2015-16,
8615,Marcus Smart,BOS,22,193.04,99.79024,Oklahoma State,USA,2014,1,6,61,9.1,4.2,3,2.6,0.047,0.117,0.172,0.463,0.162,2015-16,
8616,Marco Belinelli,SAC,30,195.58,95.25432,None,Italy,2007,1,18,68,10.2,1.7,1.9,-6.4,0.006,0.071,0.199,0.5,0.117,2015-16,
8617,Marcin Gortat,WAS,32,210.82,108.86208,None,Poland,2005,2,57,75,13.5,9.9,1.4,0.8,0.107,0.252,0.188,0.592,0.072,2015-16,
8618,Marcelo Huertas,LAL,33,190.5,90.7184,None,Brazil,Undrafted,Undrafted,Undrafted,53,4.5,1.7,3.4,0.1,0.023,0.093,0.165,0.488,0.327,2015-16,
8619,Marc Gasol,MEM,31,215.9,115.66596,None,Spain,2007,2,48,52,16.6,7,3.8,-0.1,0.036,0.202,0.239,0.528,0.195,2015-16,
8620,Manu Ginobili,SAS,38,198.12,92.98636,None,Argentina,1999,2,57,58,9.6,2.5,3.1,14.9,0.028,0.115,0.231,0.573,0.234,2015-16,
8621,Luol Deng,MIA,31,205.74,99.79024,Duke,United Kingdom,2004,1,7,74,12.3,6,1.9,1.3,0.052,0.155,0.171,0.549,0.087,2015-16,
8622,Luke Babbitt,NOP,27,205.74,102.0582,Nevada,USA,2010,1,16,47,7,3.1,1.1,-3.1,0.032,0.166,0.172,0.526,0.092,2015-16,
8623,Markel Brown,BKN,24,190.5,86.18248,Oklahoma State,USA,2014,2,44,62,5.9,2,1.5,-11.5,0.026,0.12,0.187,0.5,0.142,2015-16,
8624,Michael Kidd-Gilchrist,CHA,22,200.66,105.233344,Kentucky,USA,2012,1,2,7,12.7,6.4,1.3,15.2,0.065,0.16,0.179,0.603,0.069,2015-16,
8625,Nemanja Bjelica,MIN,28,208.28,108.86208,None,Serbia,2010,2,35,60,5.1,3.5,1.4,-5.2,0.054,0.178,0.127,0.594,0.115,2015-16,
8626,Mike Dunleavy,CHI,35,205.74,104.32616,Duke,USA,2002,1,3,31,7.2,2.7,1.3,-5.7,0.012,0.116,0.144,0.543,0.076,2015-16,
8627,Norris Cole,NOP,27,187.96,79.3786,Cleveland State,USA,2011,1,28,45,10.6,3.4,3.7,-5.5,0.009,0.137,0.216,0.465,0.219,2015-16,
8628,Norman Powell,TOR,23,193.04,97.52228,UCLA,USA,2015,2,46,49,5.6,2.3,1,4.9,0.026,0.142,0.179,0.541,0.102,2015-16,
8629,Luis Scola,TOR,36,205.74,108.86208,None,Argentina,2002,2,55,76,8.7,4.8,0.9,-2.7,0.061,0.199,0.193,0.523,0.066,2015-16,
8630,Noah Vonleh,POR,20,205.74,108.86208,Indiana,USA,2014,1,9,78,3.6,3.9,0.4,-2.7,0.083,0.202,0.132,0.471,0.037,2015-16,
8631,Nikola Vucevic,ORL,25,213.36,117.93392,Southern California,Montenegro,2011,1,16,65,18.2,8.9,2.8,-2.2,0.092,0.223,0.267,0.531,0.154,2015-16,
8632,Nikola Pekovic,MIN,30,210.82,139.252744,None,Montenegro,2008,2,31,12,4.5,1.8,0.9,-18.3,0.053,0.118,0.208,0.459,0.131,2015-16,
8633,Nikola Mirotic,CHI,25,208.28,99.79024,None,Montenegro,2011,1,23,66,11.8,5.5,1.5,0.2,0.039,0.197,0.211,0.564,0.095,2015-16,
8634,Nikola Jokic,DEN,21,208.28,113.398,None,Serbia,2014,2,41,80,10,7,2.4,1.2,0.113,0.248,0.198,0.582,0.176,2015-16,
8635,Nik Stauskas,PHI,22,198.12,92.98636,Michigan,Canada,2014,1,8,73,8.5,2.5,1.9,-11.7,0.013,0.101,0.166,0.517,0.119,2015-16,
8636,Nicolas Batum,CHA,27,203.2,90.7184,None,France,2008,1,25,70,14.9,6.1,5.8,4.8,0.025,0.166,0.215,0.546,0.262,2015-16,
